Назва,Номер реєстраційної справи,Дата публікації,Назва підприємства,Статус,Область,КОАТУУ,Суб’єкт господарювання,Назва справи:,Опис планованої діяльності:,Дата слухання,Період слухання,Перевіряючий орган,Юридична адреса суб’єкта господарювання:,"Область, де планується діяльність",Завантажені документи,Отримані документи,Категорія,Деталі категорії,Кількість категорій,lat,lon
Товариство з обмеженою відповідальністю «ХАРКІВНЕРУДПРОМ»,2018524862,2018-05-24,,Оприлюдненно,Харківська область,Сороківка,Алдошин Віталій Миколайович,Товариство з обмеженою відповідальністю «ХАРКІВНЕРУДПРОМ»,Видобування піску будівельного Сороківського родовища будівельних пісків та зміна цільового призначення земельної ділянки.,,,УЦО,"Сороківське родовище розташоване 1,5 - 2 км. на схід від с. Сороківка Харківського району, 15 км. на схід від м. Харків",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 24 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/862/reports/ff6b8701ea2fcdb530986c15908251bb.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 16 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/862/reports/ae7e9bf3d69cadf188812fa91046e698.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 16 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/862/reports/6ac53827c9f9f8c289c2cc020313a431.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 3 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/862/reports/0e416dacc432bbe0f4215004af6c423b.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 11 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/862/reports/068b70b03387cb8099e93db42f2d054c.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 11 квітня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/862/reports/7975625c15992be4e9f95de8b15693c9.pdf'}]",,,0,50.00001849358373,36.544219970703125
Товариство з обмеженою відповідальністю «ХАРКІВНЕРУДПРОМ»,2018524861,2018-05-24,,Оприлюдненно,Харківська область,Рогань,Алдошин Віталій Миколайович,Товариство з обмеженою відповідальністю «ХАРКІВНЕРУДПРОМ»,"Видобування цегельної сировини і піску Роганського родовища, що знаходиться у Харківському районі Харківської області",,,УЦО,"Роганське родовище знаходиться у Харківському районі Харківської області за 0,9 км на південний схід від смт. Рогань на землях Роганської селищної ради",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 24 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/861/reports/8593192b7abb6eb54a34e18bab2daa04.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 18 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/861/reports/379d3f4b6b5b547c101f23d349f0a8be.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 18 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/861/reports/bcfe90e09beb3e4a37ff407d8dd4d00d.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 3 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/861/reports/65867b679ffe58dc4f4871837e730154.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 14 січня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/861/reports/b48d8643d917f5df4ce020c058f5d499.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 14 січня 2019', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/861/reports/04598b9631ee066a4506b922da416598.pdf'}]",,,0,49.902385103151104,36.49226590496096
"Територія Симинівської (колишньої Першої Червоноармійської) сільської ради Вовчанського району (поза межами населеного пункту)  0,5 км на схід від автотраси Харків-Вовчанськ",2018523858,2018-05-25,,Оприлюдненно,Харківська область,Сільради Вовчанського р-ну,Хайло Алла Вікторівна,"Територія Симинівської (колишньої Першої Червоноармійської) сільської ради Вовчанського району (поза межами населеного пункту)  0,5 км на схід від автотраси Харків-Вовчанськ",Будівництво комплексу з управління комунальними відходами м. Вовчанська і Вовчанського району з використанням технології утилізації звалища твердих побутових відходів шляхом біоремедіації та компостування,,,УТО,"Юридична адреса КП ""Вовчанськ"": вул. Короленка, буд.13, м. Вовчанськ, Вовчанський район, Харківська обл., 62503. Місце провадження планованої діяльності: територія Симинівської (колишньої Першої Червоноармійської) сільської ради Вовчанського району (поза межами населеного пункту)  0,5 км на схід від автотраси Харьків-Вовчанськ, у північно-західній частині Вовчанского адміністративного району Харківської області",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 25 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/858/reports/51158de8efea9072b41dafd19acd5bd4.pdf'}, {'Назва документа': '2. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 2 серпня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/858/reports/3c03c2676cb0d3dd99932d19d25c74d2.pdf'}, {'Назва документа': '3. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 2 серпня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/858/reports/98952c33535a2b59d221a7d39e43c7de.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 21 червня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/858/reports/68ea6d1d7fc0dff5d9c7887616536e92.jpeg'}]",,,0,50.26129561238975,36.8952917112905
Державне підприємство «Балаклійське лісове господарство»,2018518817,2018-05-22,,Оприлюдненно,Харківська область,Балаклія,Корнієнко Володимир Володимирович,Державне підприємство «Балаклійське лісове господарство»,"код ЄДРПОУ 00993123, заступник директора Корнієнко Володимир Володимирович, електронна адреса bal.les@ukr.net, код згідно з Класифікацією організаційно-правових форм госпадарювання 140 Державне підприємство",,,УЦО,"64270, Харківська обл.,  Балаклійський район, с-ще Раківка, вул.  Лісна, буд. 49",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 22 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/817/reports/dd8977694cd42cf5829e3d1cba6d0f5a.pdf'}, {'Назва документа': '2. Вимога про надання умов  щодо обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 24 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/817/reports/be3d55a7e966afb267e456521cbe4a60.pdf'}, {'Назва документа': '3. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 16 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/817/reports/40b7c9a71387f11b6f56f42aaf1b7bda.pdf'}, {'Назва документа': '4. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 16 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/817/reports/19acb3a2fcd4fed183c6b189faf9bdc6.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 3 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/817/reports/9eccb1f8bcff5228b2d0fd49177a9d88.pdf'}, {'Назва документа': '2. Зауваження і пропозиції до обсягу досліджень органу влади', 'Дата оприлюднення': 'Оприлюднено 3 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/817/reports/1e814e02d3382dd3041faf413ec8c425.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 5 листопада 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/817/reports/b5f8d722656b6b3575bc95b9c6ac4dff.pdf'}]",,,0,,
"64319, Харківській області Ізюмський район с. Капітолівка,  вул. Індустріальна, 3",2018517807,2018-05-22,,Оприлюдненно,Харківська область,Сільради Ізюмського р-ну,Грунська Оксана Миколаївна,"64319, Харківській області Ізюмський район с. Капітолівка,  вул. Індустріальна, 3","Переробка кам’яного вугілля, а саме сортування вугілля за класами крупності з використанням дроблення.",,,УЦО,"93404, Луганська область, місто Сєвєродонецьк, вулиця Єгорова, будинок 22, офіс 107",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 22 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/807/reports/6043f1aa520921bde5b88247aeb89d88.pdf'}, {'Назва документа': '2. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 21 червня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/807/reports/7f6aca6cdde2710f053a974bda34bcf0.pdf'}, {'Назва документа': '3. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 21 червня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/807/reports/96dc5bb40448ce33f32e557e453774c8.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 3 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/807/reports/62a9a9cbdda2276085f3245660b606b7.pdf'}, {'Назва документа': '2. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 5 жовтня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/807/reports/aa8f9176808b6ce1adb4d78f4d7b4311.pdf'}, {'Назва документа': '3. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 5 жовтня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/807/reports/2f3351124a678fccae1e39aa68584fee.pdf'}]",,,0,49.93388337383707,36.39382226001442
Публічне акціонерне товариство «Укргазвидобування»,2018516797,2018-05-18,,Оприлюдненно,Харківська область,Валківський р-н/м.Валки,Сердюченко Олексій Володимирович,Публічне акціонерне товариство «Укргазвидобування»,"Геологічне вивчення, в тому числі дослідно-промислова розробка родовища, з подальшим видобуванням нафти, газу Наріжнянського родовища.",,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 18 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/797/reports/e3740844657f11f45a7ab83779fceecf.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 10 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/797/reports/f2658043acaf9061d95c1fc86cfe1731.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 10 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/797/reports/055d4f5f0be9fb24a000bbcb8ff6d07f.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 26 червня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/797/reports/627cd2eb11277aff1cd4dd3265239b7a.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 10 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/797/reports/3d39a4acf4dea9b53ba55c85a316ec2b.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 10 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/797/reports/ad947792faca57661f852dc922484619.pdf'}]",,,0,,
Публічне акціонерне товариство «Укргазвидобування»,2018515784,2018-05-22,,Оприлюдненно,Харківська область,Куп'янський р-н/м.Куп'янськ,Сердюченко Олексій Володимирович,Публічне акціонерне товариство «Укргазвидобування»,"Геологічне вивчення, в тому числі дослідно-промислова розробка родовища, з подальшим видобуванням нафти, газу Підкам’янської ділянки Коробочкинсько-Максальської зони.",,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 22 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/784/reports/b73cdd9d34bc1ef6f04201c83f4221a7.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 26 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/784/reports/c5a1331a680d07dcd224d273f67ee647.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 26 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/784/reports/f1227c22e37eba0452e9168c267b4208.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 26 червня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/784/reports/92a8c5af5fb7dccb4c94e9655579659a.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 10 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/784/reports/4b47150cde0376e1b7880f6c6e5e06ee.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 10 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/784/reports/1676a724109dde8fa1cdb8bdae910263.pdf'}]",,,0,,
Публічне акціонерне товариство «Укргазвидобування»,2018515783,2018-05-22,,Оприлюдненно,Харківська область,Чугуївський р-н/м.Чугуїв,Сердюченко Олексій Володимирович,Публічне акціонерне товариство «Укргазвидобування»,"Геологічне вивчення, в тому числі дослідно-промислова розробка родовища, з подальшим видобуванням нафти, газу Оливинівської ділянки Коробочкинсько-Максальської зони.",,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 22 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/783/reports/d424ee5e33d8379eadc03929b4cbe3b4.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 13 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/783/reports/beb376592f6dc298c2ad1176462e837a.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 13 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/783/reports/aa07cdf708271819ab1d56e9aa621819.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 26 червня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/783/reports/e8924188162710ffa6e1359d839397ed.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 10 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/783/reports/e4fe933915c990208398a8817367cf5f.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 21 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/783/reports/3d756e105ab91505b57515d3618e9b18.pdf'}]",,,0,,
Публічне акціонерне товариство «Укргазвидобування»,2018514770,2018-05-15,,Оприлюдненно,Харківська область,Вовчанський р-н/м.Вовчанськ,Сердюченко Олексій Володимирович,Публічне акціонерне товариство «Укргазвидобування»,"Геологічне вивчення, в тому числі дослідно-промислова розробка родовища, з подальшим видобуванням нафти, газу Східно-Харківської площі.",,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 15 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/770/reports/b0b129cb1c34398ea057aac7d4fac239.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 26 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/770/reports/389ac51bb6668efb51670ef4f71701d2.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 26 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/770/reports/3804c6aad5b1a1bf8ae1604aba741498.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 26 червня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/770/reports/f8db904f962355218e6a51e06c79e141.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 10 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/770/reports/3819bfd7f3387e48fccc743d37108f9e.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 10 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/770/reports/c3a7cdd688e44fddc1c3abcc6976f269.pdf'}]",,,0,,
Публічне акціонерне товариство «Укргазвидобування»,2018514769,2018-05-15,,Оприлюдненно,Харківська область,Чугуївський р-н/м.Чугуїв,Сердюченко Олексій Володимирович,Публічне акціонерне товариство «Укргазвидобування»,"Геологічне вивчення, в тому числі дослідно-промислова розробка родовища, з подальшим видобуванням нафти, газу Гашинівської ділянки Коробочкинсько-Максальської зони.",,,УЦО,"04053, Київ-53, вул. Кудрявська, буд. 26/28",Харківська область,"[{'Назва документа': '1. Повідомлення про плановану діяльність', 'Дата оприлюднення': 'Оприлюднено 15 травня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/769/reports/1ab937faff2293ad1dfb5b5195672087.pdf'}, {'Назва документа': '2. Звіт з ОВД', 'Дата оприлюднення': 'Оприлюднено 26 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/769/reports/75c1703018c9f5072182fb009267fdb9.pdf'}, {'Назва документа': '3. Оголошення про початок громадського обговорення звіту з ОВД', 'Дата оприлюднення': 'Оприлюднено 26 липня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/769/reports/c57b52fd0995653f800c538e13c54b55.pdf'}]","[{'Назва документа': '1. Зауваження і пропозиції громадськості до планованої діяльності, обсягу досліджень', 'Дата оприлюднення': 'Оприлюднено 26 червня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/769/reports/8ce2e20f163b8e619de00ba0c51a7b8d.pdf'}, {'Назва документа': '2. Висновок з оцінки впливу на довкілля', 'Дата оприлюднення': 'Оприлюднено 10 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/769/reports/e115d33abda8066f88f83bb8b9f875eb.pdf'}, {'Назва документа': '3. Звіт про громадське обговорення', 'Дата оприлюднення': 'Оприлюднено 10 вересня 2018', 'Посилання': 'http://eia.menr.gov.ua/uploads/documents/769/reports/d7a9ba8ac14f7fa9c0fcab67d158048a.pdf'}]",,,0,,
